id,IssuerName,ISIN,CouponRate,Maturity,high,low,last,yield%,change,credit_rating,currency,coupon_prd.
1,Buzzster,UPB042,1.995,01/20/2040,328.153,302.229,304.562,1.999,-22.321,A,INR,S
2,Ntags,LXBC2328,0.827,07/06/2029,270.955,246.677,256.874,0.828,3.281,A,EUR,A
3,Oyoba,TYE047,4.534,12/21/2037,348.781,316.658,318.586,4.555,-9.819,CCB,INR,S
4,Brightdog,QXG483018,0.045,10/12/2047,133.497,127.276,131.631,0.045,2.235,B,EUR,Q
5,Centidel,IPUVL586203,1.836,07/15/2038,326.288,314.901,319.456,1.839,-0.419,BBB,EUR,A
6,Einti,MVL18717,4.125,08/11/2048,441.714,409.601,413.776,4.142,-22.06,AA,USD,A
7,Zoovu,KEVJT991,4.681,02/07/2036,27.139,26.48,26.559,4.703,0.497,C,EUR,S
8,Meezzy,BTUP25396,4.8,05/03/2036,404.714,364.243,379.217,4.823,17.765,A,USD,A
9,Skibox,AVGS633,1.81,08/13/2021,379.138,362.191,369.986,1.813,-0.699,BB,USD,Q
10,Skimia,WOGXL690268,4.723,09/03/2026,241.853,238.854,240.413,4.745,3.774,AAA,EUR,A
11,Skippad,XTR08450,2.69,04/26/2021,185.444,181.457,183.889,2.697,1.009,A,GBP,S
12,Tambee,VJWUG996,4.519,02/18/2036,317.156,312.367,314.091,4.539,15.887,AA,EUR,S
13,Babblestorm,PNT997,2.744,07/21/2046,253.945,235.788,243.414,2.752,-2.509,BBB,GBP,A
14,Tambee,QUTFV94596,2.609,01/09/2034,327.836,318.132,327.06,2.616,-0.049,CCB,INR,A
15,Jaxspan,SRF588,4.022,03/05/2049,137.714,136.419,136.808,4.038,-28.109,A,INR,Q
16,BlogXS,IVYHR68541,4.946,04/14/2032,125.046,120.119,121.4,4.97,-6.06,B,INR,Q
17,Thoughtstorm,TJCH1498,2.51,10/08/2029,53.47,52.604,53.011,2.516,8.81,AA,USD,S
18,Geba,EYHU359489,0.968,06/28/2050,173.596,160.316,167.753,0.969,12.361,C,INR,A
19,Fanoodle,ZCL715175,0.113,04/29/2024,86.354,81.769,81.952,0.113,-5.705,AA,INR,S
20,Skyndu,ZVARE722550,3.4,11/17/2024,107.009,103.895,104.674,3.412,-4.18,BBB,INR,Q
21,Eare,VEOQ198282,0.063,03/02/2049,250.557,240.434,250.152,0.063,-19.505,AA,INR,A
22,Flashdog,WON590230,2.243,03/20/2036,284.045,282.454,283.822,2.248,2.609,BB,INR,S
23,Cogibox,IQJ883878,4.815,09/15/2048,394.778,378.987,379.934,4.838,1.999,B,GBP,S
24,Linktype,ARE41764,3.824,08/29/2047,218.197,208.073,209.591,3.839,9.66,A,GBP,S
25,Skimia,DGXCS522689,1.676,03/24/2036,389.468,373.617,380.274,1.679,15.243,AA,GBP,S
26,Edgeclub,ATQOC282,1.068,01/31/2031,243.738,224.068,228.986,1.069,0.314,BB,EUR,S
27,Twimbo,BDY491992,2.467,07/05/2019,444.135,436.807,438.272,2.473,-10.559,A,USD,Q
28,Rhycero,KSVZY623745,0.719,06/06/2041,367.253,336.734,344.974,0.72,-21.37,A,EUR,S
29,Yata,TCS762515,2.733,12/04/2042,409.486,382.296,383.656,2.74,-33.692,AA,USD,S
30,Roomm,HFKGC509,0.037,01/17/2028,465.871,450.544,459.434,0.037,60.209,AAA,USD,Q
31,Brainverse,KNW02905,2.339,04/28/2039,425.188,408.053,418.334,2.344,-2.75,AAA,USD,Q
32,Muxo,ZUNI868,2.219,10/21/2047,222.895,204.863,214.24,2.224,11.116,BB,GBP,S
33,Latz,ZQSUT060,4.523,05/16/2025,227.401,217.782,222.111,4.543,1.014,BBB,INR,S
34,Zoozzy,AXNBC733883,0.876,12/18/2018,432.988,392.677,428.554,0.877,-16.902,AA,USD,Q
35,Roodel,WZC519816,1.808,10/28/2039,281.607,268.597,279.655,1.811,-52.11,BB,USD,Q
36,Blognation,ROG3979,3.632,11/28/2046,431.834,394.567,426.989,3.645,32.713,AA,GBP,A
37,Eayo,UFEJW538,3.808,08/23/2044,217.055,215.514,216.038,3.823,-1.128,AAA,USD,A
38,Yakitri,JEIQ0564,2.599,12/09/2020,493.08,489.283,490.536,2.606,-0.357,BBB,EUR,A
39,Jaxspan,PKAEN12555,4.62,07/31/2049,51.604,50.814,51.486,4.641,-1.108,AA,GBP,A
40,Devpoint,YPTV315,4.06,12/12/2023,450.706,407.844,422.417,4.076,-227.323,A,INR,A
41,Jatri,SZPW582066,2.634,05/10/2034,167.266,164.724,166.274,2.641,-19.222,AA,EUR,Q
42,Zoomdog,SDR202,4.634,12/21/2027,328.251,321.292,324.772,4.655,-15.1,B,INR,S
43,Blogtags,HKBU87963,3.299,10/18/2034,483.778,454.122,483.481,3.31,7.96,A,INR,Q
44,Skinder,CJZF367384,1.847,03/13/2025,417.58,396.785,396.785,1.85,-1.173,A,USD,Q
45,Aibox,NMYBC5244,3.928,02/21/2041,200.521,195.688,200.376,3.943,-6.18,CCB,EUR,A
46,Photospace,WRKV14614,4.804,02/13/2037,128.439,126.988,128.366,4.827,3.994,BBB,INR,S
47,Meetz,NFAL682203,1.579,03/28/2032,438.606,402.64,407.676,1.581,-26.802,AA,EUR,Q
48,Pixoboo,MXATW108,1.122,02/23/2020,180.864,178.133,178.843,1.123,-12.052,CCC,USD,A
49,Topicshots,CNPQ48249,1.228,12/01/2036,315.635,289.216,304.275,1.23,18.543,B,USD,S
50,Blogspan,QATHD9108,4.547,05/06/2033,282.098,259.897,262.783,4.568,18.845,AA,INR,A
51,Brainverse,XDL9523,4.666,01/01/2040,443.518,427.773,436.905,4.688,1.7,A,GBP,Q
52,Browsetype,NGF142,2.022,11/13/2031,145.735,139.264,144.053,2.026,-0.778,AAA,EUR,A
53,Divanoodle,VEOLR973789,1.975,11/25/2026,461.043,448.226,452.327,1.979,-22.008,CCB,USD,A
54,Oloo,JPC2370,4.919,01/20/2050,415.637,406.244,410.752,4.943,-36.903,AA,EUR,A
55,Blogtags,VBG008,3.905,08/05/2048,469.329,465.293,468.239,3.92,-38.592,AAA,INR,A
56,Fanoodle,IOVGB309,3.571,06/23/2049,253.627,235.163,237.563,3.584,148.564,AA,EUR,S
57,Zoomdog,JBM55688,0.462,04/16/2037,141.309,128.054,130.042,0.462,1.9,A,INR,Q
58,Avavee,KAT883411,0.009,02/19/2029,52.308,48.526,49.056,0.009,-1.331,B,GBP,S
59,Mydo,VGXF84650,4.256,02/06/2038,387.571,351.372,386.485,4.274,6.378,AA,USD,Q
60,Jazzy,LVXWQ577,2.767,08/04/2040,255.765,255.458,255.63,2.775,-0.911,A,INR,Q
61,Katz,SAUY77204,2.069,11/12/2029,474.646,455.897,461.147,2.073,-135.564,CCB,INR,A
62,Chatterbridge,QKNFX769092,1.682,11/15/2046,473.626,462.496,467.504,1.685,54.731,B,EUR,A
63,Divape,GQY8382,3.002,01/06/2027,84.672,77.145,81.134,3.011,6.893,BB,EUR,S
64,Zoonoodle,FYLZV7726,3.993,01/15/2028,206.165,195.279,201.593,4.009,1.8,A,EUR,S
65,Kare,SHPG3446,4.05,07/10/2036,235.831,213.686,225.645,4.066,1,CCC,USD,S
66,Jaxbean,SLOJ5565,0.586,04/15/2048,209.893,200.238,206.514,0.586,0.681,BBB,USD,Q
67,Livepath,NDGJ913906,1.615,07/26/2041,334.387,304.058,321.649,1.618,8.943,AA,GBP,Q
68,Wikizz,CJQUD0500,3.474,08/01/2038,148.979,139.221,144.685,3.486,4.352,BB,GBP,Q
69,Oyoba,JVK157180,3.382,06/23/2047,282.432,281.472,282.403,3.393,22.182,CCB,USD,Q
70,Latz,SMF4535,1.137,02/23/2026,384.372,376.531,383.353,1.138,-46.349,BBB,USD,S
71,Realbuzz,QPH270601,4.329,03/04/2036,413.243,406.135,410.258,4.348,3.544,AAA,GBP,S
72,Skajo,DBC9382,0.257,01/22/2033,297.099,280.729,289.241,0.257,0,BBB,GBP,Q
73,Livetube,YFZSO023,0.947,11/02/2024,120.619,120.486,120.585,0.948,-2.757,B,USD,A
74,Skiba,TCRY672776,4.096,05/28/2029,60.112,56.95,58.752,4.113,-0.017,BB,GBP,Q
75,Devcast,CKQE769,2.693,04/09/2019,206.344,202.155,203.956,2.7,3.989,AA,EUR,Q
76,Realbuzz,QIRW453735,3.846,03/21/2021,38.159,34.77,36.871,3.861,0.227,B,GBP,A
77,Agivu,BCFE150,4.206,01/08/2048,437.566,408.643,424.84,4.224,-214.738,AAA,EUR,Q
78,Cogidoo,NLYGJ972614,1.794,10/20/2044,193.513,181.225,189.581,1.797,-5.11,AA,GBP,Q
79,Browsetype,UOQAV18851,0.844,05/18/2020,100.945,100.016,100.313,0.845,-5.671,BB,GBP,A
80,Feedfish,YUQWK1741,4.479,04/12/2045,173.91,157.928,162.882,4.499,-1.249,AA,GBP,A
81,Cogilith,WOIUP308841,3.059,04/25/2038,34.43,33.397,33.624,3.068,-0.437,BB,USD,Q
82,Browseblab,RUZV47556,2.863,07/02/2043,264.415,263.41,263.702,2.871,-4.2,CCB,GBP,S
83,Wikizz,ZLFGE6651,4.193,10/29/2018,120.748,111.342,113.693,4.211,-1.781,AAA,EUR,S
84,Gabtune,GSYCA117,2.941,09/07/2042,271.53,265.801,271.186,2.95,-10.36,BBB,GBP,A
85,Meemm,SUGA67261,1.386,09/24/2046,118.95,118.795,118.802,1.388,-21.766,AA,INR,A
86,Rhyzio,QWDV973,2.839,11/09/2019,220.903,215.535,216.287,2.847,4.68,BB,GBP,A
87,Pixonyx,WTZB4313,0.667,12/16/2028,264.077,241.551,244.48,0.667,1.891,A,USD,Q
88,Voonyx,SJE272482,2.75,08/21/2043,80.477,78.884,79.664,2.758,-1.352,A,INR,S
89,Realmix,YIUQZ37561,4.629,01/10/2047,438.834,400.48,403.548,4.65,0.179,BB,EUR,Q
90,Bubblebox,GSDQ1918,1.959,02/14/2027,273.267,252.745,256.233,1.963,-2.647,C,USD,S
91,Agivu,MLO575009,0.206,10/13/2044,464.624,427.593,440.924,0.206,56.303,A,EUR,S
92,Vipe,ZMEFK102126,3.205,10/03/2019,477.082,448.362,456.978,3.215,-1.968,AA,EUR,Q
93,Tanoodle,ZXCAG24542,0.322,07/30/2050,202.593,201.256,202.245,0.322,2.316,AAA,INR,S
94,Bubbletube,ZORM4253,3.536,05/15/2047,136.964,135.457,136.648,3.549,-2.16,AA,GBP,Q
95,Feedfire,YHMXJ75558,2.561,05/01/2049,151.128,145.43,149.362,2.568,-0.662,A,USD,S
96,Cogilith,XBZGM656147,0.651,09/14/2044,303.724,288.781,298.793,0.651,2.925,A,EUR,S
97,Twitternation,ZOI90082,0.308,07/16/2040,355.895,339.595,339.921,0.308,-6.404,BBB,USD,A
98,Yacero,TVL697,4.463,06/01/2050,96.571,88.749,88.827,4.483,-1.269,A,EUR,S
99,Livefish,GSQJ85846,0.23,09/19/2020,122.679,110.828,120.546,0.23,-0.776,AAA,GBP,Q
100,Katz,XEVO9856,4.178,03/09/2030,67.651,60.994,66.786,4.195,12.855,A,EUR,Q
101,Roomm,OEW52022,3.99,06/10/2030,243.303,236.734,241.529,4.006,-0.474,AA,INR,A
102,Camimbo,SEBFY539594,3.169,10/26/2029,27.992,26.217,26.679,3.179,0.52,AAA,INR,A
103,Yadel,TDVR9725,0.253,12/17/2026,405.13,399.661,400.153,0.253,16.144,C,GBP,A
104,Vinte,GUF9412,2.093,03/18/2041,351.537,339.901,345.952,2.097,30.375,A,USD,S
105,Skidoo,ZQNE45025,3.284,05/03/2026,420.703,394.073,407.388,3.295,-0.739,C,EUR,A
106,Blogspan,YCZGX6259,0.533,11/20/2023,349.216,341.463,344.875,0.533,-39.897,AAA,EUR,A
107,Vitz,XHL17949,4.486,09/02/2018,474.672,451.176,464.569,4.506,0.266,AA,GBP,A
108,Jayo,HTZ57632,4.367,10/02/2027,340.077,309.946,314.767,4.386,-27.357,A,USD,S
109,Wordpedia,FQS934,3.58,06/13/2037,209.907,205.415,208.155,3.593,13.215,AA,GBP,A
110,Rhyloo,CQHM6973,2.055,08/01/2025,238.824,226.262,235.683,2.059,0.61,CCB,USD,Q
111,Zazio,BAM709,2.531,04/26/2047,144.18,133.266,143.525,2.537,-1.033,BBB,EUR,Q
112,Realblab,KIFLB11149,4.712,04/25/2047,355.609,343.981,355.609,4.734,-38.74,C,INR,Q
113,Feednation,FEO49695,3.107,12/11/2026,327.804,324.067,325.263,3.117,1.618,AAA,GBP,Q
114,Divape,NUYLW2267,2.094,08/11/2031,245.711,231.263,231.263,2.098,4.593,BBB,GBP,Q
115,Voomm,BTVQG727543,2.608,03/08/2035,374.561,361.976,367.891,2.615,4.28,AA,INR,A
116,Bubbletube,JOD9635,2.853,07/07/2045,466.421,457.372,463.344,2.861,-47.746,AA,GBP,Q
117,Yoveo,DGMHO895,1.592,01/23/2027,248.316,226.141,246.986,1.595,9.669,CCB,GBP,Q
118,Meedoo,QTF525184,1.82,05/31/2027,160.521,152.254,153.908,1.823,2.122,AA,GBP,A
119,Ntag,WCPHL22033,2.264,06/24/2049,468.005,463.98,464.302,2.269,2.619,BBB,GBP,S
120,Skidoo,XGM396619,1.567,09/02/2043,53.638,53.386,53.615,1.569,0.225,BBB,INR,S
121,Demivee,NCD5981,1.466,12/12/2034,472.888,441.11,441.11,1.468,0.005,AA,USD,Q
122,Yodo,EMOT0216,3.429,06/12/2039,280.243,259.589,278.591,3.441,-2.045,CCB,EUR,S
123,Edgewire,EZS799897,4.039,08/14/2030,142.112,129.222,137.343,4.055,1.312,AA,GBP,A
124,Twitterworks,QGNED43827,2.302,08/18/2022,52.996,49.297,49.482,2.307,0.659,AA,EUR,Q
125,Livetube,PBG319,2.761,10/10/2018,241.467,233.474,235.233,2.769,-38.267,B,GBP,S
126,Leexo,CMT568169,2.507,02/26/2042,97.187,92.182,97.087,2.513,-2.98,BB,EUR,A
127,Aibox,UHBFV85020,3.399,09/15/2033,354.172,318.826,343.922,3.411,-7.911,AA,INR,A
128,Zoombeat,EYCG6239,4.565,08/15/2028,113.81,107.778,111.639,4.586,-4.527,AA,INR,A
129,Topicware,BFOP058718,0.269,05/30/2031,41.094,40.293,41.022,0.269,0.847,BB,USD,Q
130,Zoonoodle,IEVS773402,4.832,06/17/2038,32.86,32.39,32.54,4.855,-0.852,B,INR,Q
131,Camido,NIBJA948601,0.568,11/11/2037,103.038,96.474,99.1,0.568,1.019,AA,INR,Q
132,Thoughtstorm,JPRVF898859,0.765,05/27/2033,493.482,465.057,471.311,0.766,-3.817,A,EUR,A
133,Edgewire,TYDP431409,1.475,07/18/2050,464.09,423.482,436.071,1.477,1.251,AA,INR,Q
134,Edgeclub,EDUHR85311,2.194,10/11/2021,333.164,325.101,326.956,2.199,13.018,C,GBP,A
135,Eidel,SGJ049,4.171,11/02/2025,338.763,319.081,332.268,4.188,-62.547,AA,GBP,S
136,Zoonder,HJP7705,4.896,07/16/2041,275.889,270.288,273.985,4.92,8.511,AA,INR,Q
137,Meevee,UMY183765,1.229,02/03/2025,320.321,311.993,312.825,1.231,-4.045,AA,GBP,Q
138,Realmix,PQR5402,1.12,09/10/2018,331.183,307.073,309.966,1.121,-13.882,AA,USD,A
139,Skiba,QRNOM68969,0.908,06/07/2019,440.282,436.936,438.642,0.909,-49.143,AAA,USD,Q
140,Meemm,DEK188,3.249,05/22/2026,169.022,167.129,168.587,3.26,0.055,CCB,EUR,Q
141,Riffwire,WMK422,1.959,04/09/2049,120.395,114.917,115.136,1.963,-16.291,B,EUR,S
142,Linktype,HLMPK2923,2.286,12/09/2031,202.827,200.535,200.718,2.291,6.607,CCC,USD,S
143,Oyoloo,EXKUV857,4.914,03/19/2050,394.682,378.658,388.593,4.938,-6.483,AA,EUR,Q
144,Thoughtmix,VOQAL653980,4.789,03/09/2024,88.649,86.734,87.826,4.812,0.816,AA,INR,A
145,Babblestorm,DNTZF166,2.419,03/09/2024,418.521,377.255,383.857,2.425,-43.109,CCB,EUR,A
146,Voonte,BCDPF981934,1.48,02/11/2048,493.42,447.137,451.765,1.482,-7.744,AA,INR,S
147,Youfeed,ENMW03861,3.238,02/10/2037,176.059,166.517,173.196,3.248,-5.293,AA,USD,Q
148,Livetube,FIUNH6820,4.143,03/31/2021,328.295,323.83,327.982,4.16,-4.4,BBB,EUR,A
149,Topiclounge,JBKX249,1.402,04/15/2045,33.216,32.249,32.559,1.404,-0.022,A,EUR,A
150,Skipstorm,SEFUA908,3.991,10/09/2040,383.919,354.357,377.415,4.007,-5.865,AA,INR,Q
151,Kaymbo,FWJH569451,3.418,04/25/2049,483.581,466.946,469.275,3.43,1.834,AAA,INR,S
152,Feedspan,ABX97193,1.92,08/19/2028,295.651,277.173,279.76,1.924,9.414,A,INR,S
153,Yambee,XOTI36179,2.731,09/18/2029,439.596,429.046,435.376,2.738,168.507,CCB,GBP,A
154,Wordware,HSN23952,0.702,01/19/2046,289.861,281.658,287.81,0.702,10.036,AA,GBP,Q
155,Topdrive,ETPNS6475,4.315,04/17/2033,423.651,412.17,418.829,4.334,-16.607,A,INR,Q
156,Oozz,HLKF294,2.652,05/16/2043,253.282,248.343,251.85,2.659,-1.03,AAA,GBP,A
157,Browsezoom,KME759,1.643,05/14/2048,101.302,98.496,98.72,1.646,2.126,AA,GBP,Q
158,Photofeed,NICAZ48342,2.409,07/09/2038,312.111,304.09,310.025,2.415,-13.704,A,INR,S
159,Topiczoom,XSDWK198,4.209,08/10/2035,69.572,68.229,68.525,4.227,1.87,BBB,USD,Q
160,Podcat,REWF153024,4.479,08/25/2047,462.44,419.479,428.501,4.499,-15.963,A,GBP,Q
161,Vinder,VEF0828,4.143,03/09/2037,252.024,242.296,243.171,4.16,8.042,AA,EUR,A
162,Abatz,CXFL339,0.717,04/18/2028,429.11,402.934,420.996,0.718,43.906,BBB,INR,A
163,Jazzy,MONL4131,2.048,02/10/2028,84.789,78.014,78.895,2.052,0.968,C,INR,Q
164,Reallinks,BNHO5475,0.486,08/05/2032,246.261,245.842,246.186,0.486,-4.146,BB,GBP,S
165,Quatz,EFH540841,0.219,02/18/2019,308.327,285.11,306.005,0.219,-33.667,BBB,GBP,Q
166,Topdrive,WJL82131,4.773,04/23/2027,255.653,235.15,248.067,4.796,-52.179,B,GBP,S
167,Aibox,MBYDC907,3.569,10/17/2040,354.765,328.051,352.361,3.582,0,CCC,INR,A
168,Blogtags,VIFWJ027052,4.217,01/15/2031,465.988,435.699,439.939,4.235,25.268,AAA,USD,S
169,Jayo,YIXZL21566,3.172,02/25/2021,395.287,377.855,385.351,3.182,-9.463,BBB,EUR,A
170,Meevee,ZEY171330,0.687,06/09/2047,499.863,465.322,470.504,0.687,10.623,AA,USD,A
171,Photospace,PTCM2848,0.3,09/13/2018,499.753,451.177,490.524,0.3,-21.239,BBB,EUR,A
172,Zoomdog,OXUCL96996,0.138,07/21/2033,162.32,150.438,154.003,0.138,-3.76,AAA,EUR,S
173,Eamia,IJQY156273,3.265,10/07/2020,217.961,216.522,217.285,3.276,-32.987,A,INR,A
174,Jabberstorm,XHWY48336,4.511,09/03/2045,326.417,317.277,319.562,4.531,8.994,A,EUR,Q
175,Jatri,QCYPD363749,2.471,01/03/2020,373.019,352.54,356.841,2.477,-1.938,AAA,EUR,Q
176,Flashdog,GRM7764,4.044,08/11/2049,327.823,310.186,325.354,4.06,-32.984,BB,INR,S
177,Realblab,DYLH1872,1.261,09/16/2049,85.157,79.009,83.62,1.263,2.476,AA,GBP,Q
178,Blogspan,FPGAT85110,4.473,08/20/2024,371.381,355.003,358.77,4.493,-0.134,B,INR,S
179,Thoughtbeat,LCRPT74176,3.743,12/28/2040,127.841,115.632,117.341,3.757,7.884,CCB,EUR,Q
180,Feedspan,PKSQB352,3.475,09/16/2038,230.26,220.428,222.099,3.487,-16.37,A,GBP,A
181,Ooba,LQSC64774,0.541,02/17/2020,220.531,207.52,212.204,0.541,-11.197,AA,INR,A
182,Skyvu,WNBCD9522,3.752,08/07/2036,447.914,435.462,436.956,3.766,22.613,CC,INR,A
183,Eayo,DOQXI634634,4.545,12/12/2041,352.113,327.712,343.084,4.566,5.91,A,EUR,A
184,Fliptune,ATX801782,1.035,12/18/2025,246.112,236.169,241.141,1.036,-0.322,AAA,GBP,A
185,Fivebridge,BKFPY9536,4.962,05/28/2028,293.427,270.246,271.869,4.987,1.025,AAA,USD,Q
186,Rhyloo,TFW2890,3.132,06/06/2045,333.301,325.635,329.621,3.142,0.909,A,GBP,Q
187,Blogpad,QBJ5879,3.868,05/15/2027,492.984,450.489,485.76,3.883,18.479,AA,GBP,Q
188,Jatri,KYTP780426,0.061,10/21/2029,146.192,144.262,144.841,0.061,32.324,AA,USD,A
189,Browseblab,LJTG3720,0.177,09/24/2032,74.078,70.233,73.04,0.177,-6.075,BB,INR,S
190,Gabcube,RAU955,0.711,08/28/2023,246.827,246.087,246.398,0.712,13.599,BBB,GBP,Q
191,Katz,EQZ354,0.648,05/24/2021,199.545,189.288,190.109,0.648,0.543,B,EUR,S
192,Yodo,ZDQYF81471,0.78,07/11/2030,126.892,120.459,120.973,0.781,10.298,B,USD,S
193,Kare,ORY2685,0.784,04/11/2032,145.034,135.636,141.557,0.785,-14.93,CCC,USD,Q
194,Brainsphere,OLHX9804,3.371,06/16/2050,464.476,426.435,434.044,3.382,-3.376,BBB,GBP,S
195,Fanoodle,JZPDK5070,3.117,03/17/2037,21.109,20.44,20.667,3.127,-0.919,B,INR,Q
196,Meedoo,RWPA026971,4.329,02/04/2050,100.344,90.811,94.434,4.348,-1.254,A,EUR,A
197,Zoonoodle,VDK079918,2.303,03/15/2034,180.639,170.939,176.08,2.308,-3.333,BBB,GBP,A
198,Jabbersphere,FHR21838,3.712,11/21/2018,362.311,328.109,362.311,3.726,4.227,B,INR,Q
199,Jetpulse,CKR15210,2.938,06/13/2036,346.955,345.186,345.911,2.947,-2.378,AA,INR,Q
